ID,Condition,1. Mental Demand (0-100),2. Physical Demand (0-100),3. Temporal Demand (0-100),4. Effort (0-100),5. Frustration (0-100),6. Performance (0-100),7. Performance vs. Mental Demand,8. Mental Demand vs. Effort,9. Performance vs. Frustration,10. Temporal Demand vs. Frustration,11. Effort vs. Physical Demand,12. Frustration vs. Mental Demand,13. Performance vs. Temporal Demand,14. Physical Demand vs. Frustration,15. Temporal Demand vs. Mental Demand,16. Mental Demand vs. Physical Demand,17. Physical Demand vs. Performance,18. Frustration vs. Effort,19. Physical Demand vs. Temporal Demand,20. Temporal Demand vs. Effort,21. Effort vs. Performance
01,HighReferenceStiffness,80,43,49,74,30,42,Performance,Effort,Performance,Temporal Demand,Effort,Mental Demand,Performance,Physical Demand,Mental Demand,Mental Demand,Physical Demand,Effort,Physical Demand,Temporal Demand,Effort
01,LowReferenceStiffness,79,62,50,71,50,51,Effort,Effort,Performance,Temporal Demand,Effort,Effort,Performance,Physical Demand,Mental Demand,Effort,Physical Demand,Effort,Physical Demand,Temporal Demand,Effort
02,HighReferenceStiffness,45,70,55,75,35,75,Performance,Effort,Performance,Temporal Demand,Effort,Mental Demand,Performance,Physical Demand,Mental Demand,Mental Demand,Physical Demand,Effort,Physical Demand,Temporal Demand,Effort
02,LowReferenceStiffness,45,50,30,61,50,40,Effort,Effort,Performance,Temporal Demand,Effort,Effort,Performance,Physical Demand,Effort,Mental Demand,Physical Demand,Effort,Physical Demand,Temporal Demand,Effort
03,HighReferenceStiffness,24,77,60,88,60,40,Performance,Effort,Effort,Temporal Demand,Effort,Mental Demand,Effort,Physical Demand,Mental Demand,Mental Demand,Physical Demand,Effort,Physical Demand,Temporal Demand,Effort
03,LowReferenceStiffness,46,96,84,69,80,58,Performance,Effort,Effort,Temporal Demand,Effort,Mental Demand,Effort,Physical Demand,Mental Demand,Mental Demand,Physical Demand,Effort,Physical Demand,Temporal Demand,Effort
04,HighReferenceStiffness,81,93,79,81,51,60,Effort,Mental Demand,Effort,Temporal Demand,Effort,Effort,Effort,Physical Demand,Effort,Mental Demand,Physical Demand,Effort,Physical Demand,Temporal Demand,Effort
04,LowReferenceStiffness,95,94,70,79,60,60,Effort,Mental Demand,Effort,Temporal Demand,Effort,Effort,Effort,Physical Demand,Effort,Mental Demand,Physical Demand,Effort,Effort,Temporal Demand,Effort
05,HighReferenceStiffness,30,100,64,81,50,74,Performance,Effort,Effort,Effort,Effort,Mental Demand,Performance,Performance,Performance,Mental Demand,Physical Demand,Effort,Physical Demand,Temporal Demand,Effort
05,LowReferenceStiffness,49,96,81,100,80,64,Performance,Mental Demand,Effort,Effort,Effort,Mental Demand,Effort,Physical Demand,Performance,Mental Demand,Physical Demand,Effort,Physical Demand,Temporal Demand,Effort
