ID,Order Group,Condition,Trial,Reference Stiffness,Test Stiffness,Stiffness Difference (%),Duration (s),Is Catch Trial,Is Correct,Truth Switch Position,Selected Switch Position
1,A,HighReferenceStiffness,1,0.4,0.8,100,194.949,False,True,2,2
1,A,HighReferenceStiffness,2,0.4,0.784,96,66.501,False,True,8,8
1,A,HighReferenceStiffness,3,0.4,0.768,92,35.799,True,True,0,0
1,A,HighReferenceStiffness,4,0.4,0.752,88,199.352,False,False,6,3
1,A,HighReferenceStiffness,5,0.4,0.752,88,94.364,False,True,7,7
1,A,HighReferenceStiffness,6,0.4,0.736,84,54.304,False,True,6,6
1,A,HighReferenceStiffness,7,0.4,0.72,80,61.215,True,True,0,0
1,A,HighReferenceStiffness,8,0.4,0.704,76,69.682,False,True,8,8
1,A,HighReferenceStiffness,9,0.4,0.688,72,258.528,False,True,5,5
1,A,HighReferenceStiffness,10,0.4,0.672,68,163.252,False,True,6,6
1,A,HighReferenceStiffness,11,0.4,0.656,64,13.817,False,False,4,0
1,A,HighReferenceStiffness,12,0.4,0.656,64,107.082,False,True,10,10
1,A,HighReferenceStiffness,13,0.4,0.64,60,15.936,True,True,0,0
1,A,HighReferenceStiffness,14,0.4,0.624,56,53.463,False,True,5,5
1,A,HighReferenceStiffness,15,0.4,0.608,52,162.782,False,True,3,3
1,A,HighReferenceStiffness,16,0.4,0.592,48,45.271,False,True,6,6
1,A,HighReferenceStiffness,17,0.4,0.576,44,70.697,False,True,1,1
1,A,HighReferenceStiffness,18,0.4,0.56,40,271.342,False,True,3,3
1,A,HighReferenceStiffness,19,0.4,0.544,36,48.411,False,False,3,8
1,A,HighReferenceStiffness,20,0.4,0.544,36,19.061,False,False,10,3
1,A,HighReferenceStiffness,21,0.4,0.56,40,45.64,False,False,2,4
1,A,HighReferenceStiffness,22,0.4,0.56,40,65.153,False,False,7,5
1,A,HighReferenceStiffness,23,0.4,0.576,44,20.686,False,False,7,6
1,A,HighReferenceStiffness,24,0.4,0.576,44,20.165,False,False,3,0
1,A,HighReferenceStiffness,25,0.4,0.592,48,49.164,False,True,4,4
1,A,HighReferenceStiffness,26,0.4,0.576,44,37.251,False,False,9,10
1,A,HighReferenceStiffness,27,0.4,0.576,44,84.627,False,True,4,4
1,A,HighReferenceStiffness,28,0.4,0.56,40,128.607,False,True,5,5
1,A,HighReferenceStiffness,29,0.4,0.544,36,33.434,False,False,1,0
1,A,HighReferenceStiffness,30,0.4,0.544,36,66.082,False,False,3,6
1,A,HighReferenceStiffness,31,0.4,0.56,40,16.606,False,False,2,6
1,A,HighReferenceStiffness,32,0.4,0.56,40,102.312,False,False,2,7
1,A,HighReferenceStiffness,33,0.4,0.576,44,11.168,False,False,9,8
1,A,HighReferenceStiffness,34,0.4,0.576,44,34.667,False,False,8,0
1,A,HighReferenceStiffness,35,0.4,0.592,48,18.216,False,False,10,9
1,A,HighReferenceStiffness,36,0.4,0.592,48,30.456,False,False,2,8
1,A,HighReferenceStiffness,37,0.4,0.608,52,40.509,False,False,1,0
1,A,HighReferenceStiffness,38,0.4,0.608,52,92.075,False,True,7,7
1,A,HighReferenceStiffness,39,0.4,0.592,48,46.757,False,False,5,0
1,A,HighReferenceStiffness,40,0.4,0.592,48,35.109,False,False,2,0
1,A,LowReferenceStiffness,1,0.1,0.2,100,49.587,False,True,4,4
1,A,LowReferenceStiffness,2,0.1,0.196,96,31.391,False,True,6,6
