ID,1. Using this system is a bad/good idea? (1-5),2. To what extent would you recommend the game to others? (1-5),3. Using this system is a foolish/wise idea? (1-5),4. To what extent would like to begin or continue playing the game? (1-5),5. Using this system is a unpleasant/pleasant idea? (1-5),6. How playful do you expect the game to be? (1-10)
1,4,4,4,5,4,7
2,5,4,4,5,4,9
3,5,4,4,4,5,9
4,4,5,4,5,5,8
5,4,4,5,4,5,7
6,4,5,4,4,4,8
7,5,4,5,5,5,9
8,3,3,4,4,4,8
9,4,3,3,3,4,7
10,4,4,5,5,5,9
11,4,3,3,4,3,6
12,4,3,3,4,4,7
13,4,3,4,4,4,8
14,3,3,4,4,3,7
