ID,1. Mental Demand (0-100),2. Physical Demand (0-100),3. Temporal Demand (0-100),4. Effort (0-100),5. Frustration (0-100),6. Performance (0-100),7. Performance vs. Mental Demand,8. Mental Demand vs. Effort,9. Performance vs. Frustration,10. Temporal Demand vs. Frustration,11. Effort vs. Physical Demand,11. Frustration vs. Mental Demand,12. Performance vs. Temporal Demand,13. Physical Demand vs. Frustration,14. Temporal Demand vs. Mental Demand,15. Mental Demand vs. Physical Demand,16. Physical Demand vs. Performance,17. Frustration vs. Effort,18. Physical Demand vs. Temporal Demand,19. Temporal Demand vs. Effort,20. Effort vs. Performance
1,20,30,20,30,90,30,Performance,Effort,Frustration,Frustration,Physical Demand,Frustration,Temporal Demand,Physical Demand,Temporal Demand,Physical Demand,Performance,Frustration,Physical Demand,Temporal Demand,Effort
2,0,0,0,0,100,0,Performance,Mental Demand,Performance,Frustration,Effort,Frustration,Performance,Physical Demand,Temporal Demand,Physical Demand,Performance,Effort,Physical Demand,Temporal Demand,Effort
3,10,20,0,10,100,0,Performance,Effort,Frustration,Frustration,Physical Demand,Frustration,Performance,Physical Demand,Temporal Demand,Physical Demand,Physical Demand,Frustration,Physical Demand,Temporal Demand,Effort
4,10,10,10,10,90,10,Performance,Effort,Frustration,Frustration,Physical Demand,Mental Demand,Temporal Demand,Frustration,Mental Demand,Physical Demand,Physical Demand,Effort,Physical Demand,Effort,Performance
5,10,30,0,20,80,0,Performance,Effort,Frustration,Frustration,Physical Demand,Frustration,Temporal Demand,Frustration,Mental Demand,Physical Demand,Performance,Effort,Physical Demand,Effort,Effort
6,30,60,50,70,60,70,Performance,Effort,Frustration,Frustration,Physical Demand,Frustration,Performance,Physical Demand,Temporal Demand,Physical Demand,Physical Demand,Effort,Physical Demand,Effort,Performance
7,60,70,50,60,70,50,Mental Demand,Mental Demand,Performance,Temporal Demand,Effort,Frustration,Performance,Physical Demand,Temporal Demand,Physical Demand,Physical Demand,Frustration,Physical Demand,Temporal Demand,Performance
8,0,0,0,10,80,0,Performance,Mental Demand,Performance,Temporal Demand,Effort,Frustration,Performance,Physical Demand,Temporal Demand,Physical Demand,Physical Demand,Frustration,Physical Demand,Temporal Demand,Effort
9,30,40,60,40,40,10,Performance,Effort,Frustration,Frustration,Physical Demand,Frustration,Performance,Physical Demand,Temporal Demand,Mental Demand,Physical Demand,Frustration,Temporal Demand,Effort,Effort
10,0,10,10,10,100,0,Performance,Effort,Frustration,Frustration,Effort,Mental Demand,Performance,Physical Demand,Temporal Demand,Mental Demand,Physical Demand,Frustration,Temporal Demand,Temporal Demand,Effort
11,30,30,60,40,60,20,Performance,Mental Demand,Performance,Temporal Demand,Effort,Frustration,Performance,Physical Demand,Temporal Demand,Physical Demand,Physical Demand,Frustration,Physical Demand,Temporal Demand,Performance
12,30,20,30,20,100,0,Mental Demand,Effort,Frustration,Temporal Demand,Physical Demand,Mental Demand,Temporal Demand,Physical Demand,Mental Demand,Mental Demand,Physical Demand,Effort,Physical Demand,Temporal Demand,Effort
13,20,20,20,20,100,0,Mental Demand,Mental Demand,Performance,Frustration,Effort,Mental Demand,Temporal Demand,Frustration,Mental Demand,Mental Demand,Physical Demand,Frustration,Physical Demand,Temporal Demand,Effort
14,20,50,50,50,60,50,Performance,Effort,Frustration,Frustration,Physical Demand,Frustration,Temporal Demand,Frustration,Mental Demand,Physical Demand,Performance,Effort,Temporal Demand,Temporal Demand,Effort
