,,
,Title,"Research data supporting ""Supporting Playful Rehabilitation in the Home Using Virtual Reality Headsets and Force Feedback Gloves"""
,Publication,Supporting Playful Rehabilitation in the Home Using Virtual Reality Headsets and Force Feedback Gloves
,Full citation,"Wang, Q., Kang, B. and Kristensson, P. O. (2022). Supporting Playful Rehabilitation in the Home Using Virtual Reality Headsets and Force Feedback Gloves. In 2022 IEEE Conference on Virtual Reality and 3D User Interfaces (VR), pages 504--513. IEEE. DOI: 10.1109/VR51125.2022.00070"
,DOI,10.1109/VR51125.2022.00070
,Conference,2022 IEEE Conference on Virtual Reality and 3D User Interfaces (VR)
,Authors,Qisong Wang
,,Bo Kang
,,Per Ola Kristensson
,Description,"Anonymised participant-level CSV data corresponding to experiments described in ""Supporting Playful Rehabilitation in the Home Using Virtual Reality Headsets and Force Feedback Gloves"". See the associated publication for detailed description of experimental conditions and metrics."
,Keywords,"virtual reality, haptic devices"
,Format,.csv
,,
,Tab,Description
,S1 - DEMO,Participants' demographic data in Study 1
,S1 - ATTITUDES1,Participants' attitudes towards the system before playing the game in Study 1
,S1 - EXPERIENCE1,Participants' experience ratings for game subtask 1 in Study 1
,S1 - EXPERIENCE2,Participants' experience ratings for game subtask 2 in Study 1
,S1 - EXPERIENCE3,Participants' experience ratings for game subtask 3 in Study 1
,S1 - ATTITUDES2,Participants' attitudes towards the system after playing the game in Study 1
,S1 - SSQ,Participants' responses to standard Simulator Sickness Questionnaire (SSQ) after playing the game in Study 1
,S2 - DEMO,Participants' demographic data in Study 2
,S2 - ATTITUDES1,Participants' attitudes towards the system before playing the game in Study 2
,S2 - EXPERIENCE1,Participants' experience ratings for game subtask 1 in Study 2
,S2 - EXPERIENCE2,Participants' experience ratings for game subtask 2 in Study 2
,S2 - EXPERIENCE3,Participants' experience ratings for game subtask 3 in Study 2
,S2 - ATTITUDES2,Participants' attitudes towards the system after playing the game in Study 2
,S2 - SSQ,Participants' responses to standard Simulator Sickness Questionnaire (SSQ) after playing the game in Study 2
,S2 - NASATLX,Participants' responses to standard NASA Task Load Index (NASA-TLX) questionnaire after playing the game in Study 2
