ID,1. Mental Demand (0-100),2. Physical Demand (0-100),3. Temporal Demand (0-100),4. Effort (0-100),5. Frustration (0-100),6. Performance (0-100),7. Performance vs. Mental Demand,8. Mental Demand vs. Effort,9. Performance vs. Frustration,10. Temporal Demand vs. Frustration,11. Effort vs. Mental Demand,12. Frustration vs. Mental Demand,13. Performance vs. Temporal Demand,14. Physical Demand vs. Frustration,15. Temporal Demand vs. Mental Demand,16. Mental Demand vs. Physical Demand,17. Physical Demand vs. Performance,18. Frustration vs. Effort,19. Physical Demand vs. Temporal Demand,20. Temporal Demand vs. Effort,21. Effort vs. Performance
1,70.0,84.0,72.0,66.0,69.0,69.0,Performance,Mental Demand,Performance,Temporal Demand,Mental Demand,Mental Demand,Performance,Physical Demand,Mental Demand,Mental Demand,Physical Demand,Frustration,Physical Demand,Temporal Demand,Performance
2,60.0,74.0,45.0,72.0,80.0,37.0,Performance,Mental Demand,Performance,Temporal Demand,Mental Demand,Mental Demand,Performance,Physical Demand,Mental Demand,Mental Demand,Physical Demand,Effort,Physical Demand,Temporal Demand,Performance
3,40.0,61.0,60.0,39.0,60.0,60.0,Performance,Mental Demand,Performance,Temporal Demand,Mental Demand,Mental Demand,Performance,Physical Demand,Mental Demand,Mental Demand,Physical Demand,Frustration,Physical Demand,Effort,Effort
4,60.0,73.0,73.0,70.0,63.0,63.0,Performance,Mental Demand,Performance,Temporal Demand,Mental Demand,Mental Demand,Performance,Physical Demand,Mental Demand,Mental Demand,Physical Demand,Frustration,Temporal Demand,Effort,Effort
5,2.0,25.0,50.0,100.0,24.0,53.0,Performance,Mental Demand,Performance,Temporal Demand,Mental Demand,Mental Demand,Performance,Physical Demand,Mental Demand,Mental Demand,Performance,Effort,Temporal Demand,Temporal Demand,Effort
6,39.0,65.0,82.0,39.0,23.0,60.0,Performance,Mental Demand,Performance,Temporal Demand,Mental Demand,Mental Demand,Performance,Physical Demand,Mental Demand,Mental Demand,Physical Demand,Frustration,Temporal Demand,Effort,Effort
7,28.0,53.0,35.0,44.0,31.0,29.0,Performance,Mental Demand,Performance,Temporal Demand,Mental Demand,Mental Demand,Performance,Physical Demand,Mental Demand,Mental Demand,Physical Demand,Effort,Physical Demand,Temporal Demand,Performance
8,58.0,45.0,61.0,72.0,48.0,75.0,Performance,Mental Demand,Performance,Temporal Demand,Mental Demand,Mental Demand,Performance,Physical Demand,Temporal Demand,Physical Demand,Performance,Effort,Physical Demand,Temporal Demand,Effort
9,75.0,85.0,20.0,70.0,80.0,60.0,Performance,Mental Demand,Performance,Temporal Demand,Mental Demand,Mental Demand,Performance,Physical Demand,Temporal Demand,Mental Demand,Physical Demand,Frustration,Physical Demand,Temporal Demand,Effort
10,16.0,35.0,19.0,9.0,6.0,73.0,Performance,Mental Demand,Performance,Temporal Demand,Mental Demand,Mental Demand,Performance,Physical Demand,Mental Demand,Mental Demand,Physical Demand,Effort,Physical Demand,Effort,Effort
11,21.0,60.0,42.0,58.0,60.0,80.0,Performance,Mental Demand,Performance,Temporal Demand,Mental Demand,Mental Demand,Performance,Physical Demand,Mental Demand,Mental Demand,Performance,Effort,Physical Demand,Effort,Effort
12,10.0,40.0,60.0,60.0,9.0,79.0,Performance,Mental Demand,Performance,Temporal Demand,Mental Demand,Mental Demand,Performance,Physical Demand,Mental Demand,Mental Demand,Physical Demand,Effort,Physical Demand,Effort,Performance
13,21.0,78.0,60.0,61.0,40.0,79.0,Performance,Mental Demand,Performance,Temporal Demand,Mental Demand,Mental Demand,Performance,Physical Demand,Mental Demand,Mental Demand,Physical Demand,Frustration,Physical Demand,Temporal Demand,Effort
14,62.0,86.0,60.0,79.0,21.0,60.0,Performance,Mental Demand,Performance,Temporal Demand,Mental Demand,Mental Demand,Performance,Physical Demand,Mental Demand,Mental Demand,Physical Demand,Frustration,Physical Demand,Effort,Effort
15,10.0,80.0,30.0,100.0,30.0,50.0,Performance,Mental Demand,Performance,Temporal Demand,Mental Demand,Mental Demand,Performance,Physical Demand,Mental Demand,Mental Demand,Physical Demand,Frustration,Physical Demand,Effort,Effort
16,18.0,44.0,7.0,29.0,4.0,61.0,Performance,Mental Demand,Performance,Temporal Demand,Mental Demand,Mental Demand,Performance,Physical Demand,Mental Demand,Mental Demand,Performance,Frustration,Temporal Demand,Temporal Demand,Effort
