ID,Condition,Trial,Mass (g),Attempt Durations (s),Task Completion Time (s),Error Count
1,ForceFeedback,1,100,5.09166,5.09166,0
1,ForceFeedback,2,200,2.299988,2.299988,0
1,ForceFeedback,3,300,2.474991,2.474991,0
1,ForceFeedback,4,400,"0.708328,2.083328,1.758331,1.308319,2.324997",8.183304,4
1,ForceFeedback,5,400,4.516663,4.516663,0
1,ForceFeedback,6,300,1.908325,1.908325,0
1,ForceFeedback,7,100,"1.883301,2.350006",4.233307,1
1,ForceFeedback,8,200,1.81665,1.81665,0
1,ForceFeedback,9,300,2.574982,2.574982,0
1,ForceFeedback,10,200,"1.56665,2.399994,2.875",6.841644,2
1,ForceFeedback,11,400,"3.149994,2.174988,3.05835",8.383331,2
1,ForceFeedback,12,100,2.649994,2.649994,0
1,ForceFeedback,13,200,"2.350037,7.283325,1.399963,1.93335,2.924988",15.89166,4
1,ForceFeedback,14,100,3.008301,3.008301,0
1,ForceFeedback,15,300,"2.091675,1.5,2.299988,0.3499756,2.466675",8.708313,4
1,ForceFeedback,16,400,"2.741699,2.533325,1.741638,0.5166626,2.166687,2.666687",12.3667,5
1,ForceFeedback,17,100,3.158325,3.158325,0
1,ForceFeedback,18,400,"1.650024,2.43335,3.208313",7.291687,2
1,ForceFeedback,19,200,"12.66663,4.19165",16.85828,1
1,ForceFeedback,20,300,"11.73328,2.725037",14.45831,1
2,NoForceFeedback,1,100,5.641632,5.641632,0
2,NoForceFeedback,2,200,3.458313,3.458313,0
2,NoForceFeedback,3,300,"1.508331,2.21666,2.449997,3.016663",9.19165,3
2,NoForceFeedback,4,400,3.033325,3.033325,0
2,NoForceFeedback,5,400,"2.000000,2.541656,3.616638,2.524994,2.058319",12.74161,4
2,NoForceFeedback,6,300,"2.625000,1.783325,3.808319,4.458313,1.016663,1.750000",15.44162,5
2,NoForceFeedback,7,100,"14.924930,2.741669",17.6666,1
2,NoForceFeedback,8,200,1.891663,1.891663,0
2,NoForceFeedback,9,300,4.666626,4.666626,0
